,,,,,,,,,,,,,,,,,
BEER,CATEGORY,DESCRIPTION,ABV,BREWED,PRICE,,,,,,,,,,,,
Virginia Beer,,,,,,,,,,,,,,,,,
,,,,,Small,Large,Growler,,,,,,,,,,
Schneider - Eisbock,Eisbock,"Up until the 1940's, Aventinus was shipped all over Bavaria in containers lacking temperature control. Consequently, the precious drink partially froze during transportation. Unaware that the brew was concentrated by the separation of water from the liquid, people were baffled by this unique version of Aventinus.",10.00%,Germany,$11.50,,$26.00,,,,,,,,,,
Harp,Euro Irish Lager,"Smooth, clean, crisp. Not just for drinking around St. Paddy's day! Serves as an excellent lawnmower beer!",5.00%,Ireland,$4.00,$6.75,$15.00,,,,,,,,,,
Fullers ESB - England,English Bitter,"A wonderful rich mahogany appearance. Taking in the nose, the beer is bursting with cherry and orange, balanced by soft malty toffee and caramel notes. The flavor delivers everything you would expect from such a full-bodied ale.",5.90%,England,$4.75,$8.00,$17.50,,,,,,,,,,
Duchesse de Bourgogne,Flemish Sour,"Traditional top fermented reddish-brown ale from the West-Flanders region of Belgium. This refined ale also known as ""The Burgundies of Belgium"" is a blend of 8 and 18 months old ales following careful maturation in oak casks. 100% natural and unpasteurized.",6.20%,Belgium,$10.50,,$26.00,,,,,,,,,,
Sixpoint - Resin,IPA (Imperial),"Sticky, yet sweet and satisfying. Rounding the corner at 103 IBU's there'll be no doubt in your mind that this is what DIPA's should taste like.",9.10%,New York,$5.25,$8.50,$20.00,,,,,,,,,,
Firestone Walker - Wookey Jack,IPA (Black/Rye),"Rich dark malts and spicy rye careen into bold citrus laden hops creating a new dimension in IPA flavor. This brew has been left unfiltered and unfined to retain all of its texture and character. At 80 IBUs, Wookey Jack is gnarly on the outside yet complex and refined on the inside.",8.30%,California,$7.00,,$22.00,,,,,,,,,,
Bear Republic - Racer 5,IPA,"This hoppy American IPA is a full bodied beer brewed American pale and crystal malts, and heavily hopped with Chinook, Cascade, Columbus and Centennial. There's a trophy in every glass.",7.00%,California,$4.50,$7.00,$17.50,,,,,,,,,,
Bell's - Two Hearted Ale,IPA,India Pale Ale style well suited for Hemingway-esque trips to the Upper Peninsula. American malts and enormous hop additions give this beer a crisp finish and incredible floral hop aroma.,7.00%,Michigan,$4.50,$7.50,$15.00,,,,,,,,,,
Epic - Hopulent,IPA (Nitro),"Hopulent IPA is a big beer with lots of complex malt flavor and excessive hops. The character of Hopulent IPA is over the top, too much of everything-a real HOP HEADS DELIGHT! And with it being on Nitro is an added bonus for you!",8.30%,Utah,$5.00,$8.00,,,,,,,,,,,
Smithwicks - Irish Red Ale,Irish Red Ale,"Pours ruby red in color. Slightly hoppy, slightly bitter: a perfect example of a true Irish red!",4.50%,Ireland,$4.00,$6.75,$15.00,,,,,,,,,,
